system,n,items_per_stream,slots,workers,streams,ms_per_stream,transform_iters
tomii,256,256,1,1,200,19.401824,2048
tomii,256,256,4,1,200,19.215627,2048
tomii,256,256,16,1,200,19.209659,2048
tomii,256,256,64,1,200,19.075184,2048
tomii,256,256,1,4,200,5.072371,2048
tomii,256,256,4,4,200,4.979738,2048
tomii,256,256,16,4,200,4.988816,2048
tomii,256,256,64,4,200,4.973831,2048
tomii,256,256,1,8,200,2.748020,2048
tomii,256,256,4,8,200,2.627949,2048
tomii,256,256,16,8,200,2.639190,2048
tomii,256,256,64,8,200,2.640162,2048
